Time,Time Code,Country Name,Country Code,Forest area (% of land area) [AG.LND.FRST.ZS],"Labor force, female (% of total labor force) [SL.TLF.TOTL.FE.ZS]","Employers, female (% of female employment) (modeled ILO estimate) [SL.EMP.MPYR.FE.ZS]","Employers, male (% of male employment) (modeled ILO estimate) [SL.EMP.MPYR.MA.ZS]","Employers, total (% of total employment) (modeled ILO estimate) [SL.EMP.MPYR.ZS]"
1990,YR1990,Afghanistan,AFG,1.852781994,16.86604478,0.0443596,0.467874,0.4046118
1990,YR1990,Australia,AUS,17.42735899,41.39308651,0.0443596,0.467874,0.4046118
1990,YR1990,Bangladesh,BGD,14.75247753,21.74820403,0.0443596,0.467874,0.4046118
1990,YR1990,Brazil,BRA,70.45802056,34.91391083,0.0443596,0.467874,0.4046118
1990,YR1990,Canada,CAN,38.84551156,44.31022381,0.0443596,0.467874,0.4046118
1990,YR1990,France,FRA,26.36394517,43.38672797,0.0443596,0.467874,0.4046118
1990,YR1990,Germany,DEU,32.36616733,41.04518285,0.0443596,0.467874,0.4046118
2001,YR2001,Afghanistan,AFG,1.852781994,16.65083576,0.0443596,0.467874,0.4046118
2001,YR2001,Australia,AUS,17.12863335,44.17594707,5.723996,9.445899,7.804428
2001,YR2001,Bangladesh,BGD,14.72789045,23.81885561,0.1148142,0.3282924,0.2781329
2001,YR2001,Brazil,BRA,65.4616709,40.9228979,2.495089,5.619571,4.383433
2001,YR2001,Canada,CAN,38.78763071,46.1057453,2.930597,7.298104,5.27703
2001,YR2001,France,FRA,28.12642106,45.89665071,2.002853,5.983008,4.193261
2001,YR2001,Germany,DEU,32.55803955,44.49238528,2.66432,6.898253,5.019605
2002,YR2002,Afghanistan,AFG,1.852781994,16.79825418,0.0428035,0.472442,0.4078603
2002,YR2002,Australia,AUS,17.09911094,44.27663198,5.598687,9.242031,7.633139
2002,YR2002,Bangladesh,BGD,14.70331797,24.03643962,0.1158266,0.3291628,0.2788025
2002,YR2002,Brazil,BRA,64.98898319,41.60429313,2.729219,5.536362,4.406716
2002,YR2002,Canada,CAN,38.78227958,46.31012777,2.950207,7.034813,5.132265
2002,YR2002,France,FRA,28.33297112,45.92094377,1.94501,5.843836,4.073443
2002,YR2002,Germany,DEU,32.57753827,44.70233235,2.608969,6.86574,4.963661
2003,YR2003,Afghanistan,AFG,1.852781994,16.95282248,0.0445984,0.4849434,0.4181973
2003,YR2003,Australia,AUS,17.06958853,44.65013315,5.44422,9.090864,7.471193
2003,YR2003,Bangladesh,BGD,14.67874549,24.25985279,0.1183131,0.3288745,0.2789399
2003,YR2003,Brazil,BRA,64.51629549,41.81093823,2.569947,5.542232,4.341715
2003,YR2003,Canada,CAN,38.77692846,46.56101077,2.865561,7.074677,5.10633
2003,YR2003,France,FRA,28.52389357,46.5042158,2.143593,6.242374,4.351033
2003,YR2003,Germany,DEU,32.59797598,44.99449684,2.543343,7.014181,4.999626
2004,YR2004,Afghanistan,AFG,1.852781994,17.09469978,0.0469879,0.4947133,0.426266
2004,YR2004,Australia,AUS,17.04006613,44.55032406,5.317635,9.11393,7.433323
2004,YR2004,Bangladesh,BGD,14.654173,24.48101043,0.1197398,0.3270265,0.2781523
2004,YR2004,Brazil,BRA,64.04360779,42.21147137,2.585839,5.377075,4.241113
2004,YR2004,Canada,CAN,38.77157733,46.67247038,2.960328,7.282,5.258178
2004,YR2004,France,FRA,28.74607126,46.47106466,2.226048,6.189817,4.364515
2004,YR2004,Germany,DEU,32.6174843,45.05745105,2.672389,7.23155,5.171928
2005,YR2005,Afghanistan,AFG,1.852781994,17.22180112,0.0493992,0.5057468,0.435334
2005,YR2005,Australia,AUS,17.01054372,44.8937186,5.34379,9.170018,7.464123
2005,YR2005,Bangladesh,BGD,14.62960052,24.70719781,0.1192481,0.3252594,0.2769906
2005,YR2005,Brazil,BRA,63.57092009,42.71401794,2.69384,5.568525,4.387093
2005,YR2005,Canada,CAN,38.7662262,46.65246315,3.052587,7.41853,5.375969
2005,YR2005,France,FRA,28.95315008,46.78708143,2.098996,6.305284,4.35085
2005,YR2005,Germany,DEU,32.6341897,45.31530663,2.624302,6.805,4.91385
2006,YR2006,Afghanistan,AFG,1.852781994,17.01431389,0.0534765,0.5257769,0.453412
2006,YR2006,Australia,AUS,16.98102131,45.05001991,5.089471,8.884722,7.186409
2006,YR2006,Bangladesh,BGD,14.60502804,24.90763008,0.1156506,0.3257178,0.2762808
2006,YR2006,Brazil,BRA,63.09823238,42.71889685,2.823853,5.864446,4.609164
2006,YR2006,Canada,CAN,38.76087508,46.8996753,3.039937,7.106161,5.195449
2006,YR2006,France,FRA,29.15970392,46.9314919,2.11041,6.532014,4.468992
2006,YR2006,Germany,DEU,32.65370498,45.63010354,2.608603,6.772204,4.879796
2007,YR2007,Afghanistan,AFG,1.852781994,16.82262065,0.0557705,0.5446523,0.4702322
2007,YR2007,Australia,AUS,16.9514989,45.14691092,4.962512,8.298713,6.80708
2007,YR2007,Bangladesh,BGD,14.58045556,25.44261755,0.1290884,0.3031015,0.2612819
2007,YR2007,Brazil,BRA,62.62554468,42.81677694,2.397503,4.906238,3.869822
2007,YR2007,Canada,CAN,38.75552395,47.07876438,2.846822,7.073946,5.077446
2007,YR2007,France,FRA,29.36625776,47.18477408,2.297763,6.292357,4.414238
2007,YR2007,Germany,DEU,32.67416181,45.80522758,2.523963,6.76952,4.836332
2008,YR2008,Afghanistan,AFG,1.852781994,16.66303275,0.0564619,0.5655818,0.4883621
2008,YR2008,Australia,AUS,16.92197649,45.25710043,4.949685,8.418221,6.862269
2008,YR2008,Bangladesh,BGD,14.55588308,26.00326051,0.1429693,0.2806552,0.2468471
2008,YR2008,Brazil,BRA,62.15285698,42.681409,2.967274,5.788658,4.623188
2008,YR2008,Canada,CAN,38.75017283,47.03166632,2.836591,7.15738,5.117155
2008,YR2008,France,FRA,29.5728116,47.31103448,2.558211,6.469675,4.625293
2008,YR2008,Germany,DEU,32.69368672,45.76799326,2.508198,6.65318,4.765926
2009,YR2009,Afghanistan,AFG,1.852781994,16.56914655,0.0854779,0.6891102,0.5976048
2009,YR2009,Australia,AUS,16.89245408,45.41085352,4.615835,8.579278,6.785902
2009,YR2009,Bangladesh,BGD,14.53130983,26.56177793,0.1572011,0.2586082,0.2331787
2009,YR2009,Brazil,BRA,61.68016927,42.95109417,2.683754,5.646558,4.419252
2009,YR2009,Canada,CAN,38.7448217,47.26387946,2.756717,7.269122,5.108225
2009,YR2009,France,FRA,29.77936544,47.46582968,2.179628,6.55844,4.480783
2009,YR2009,Germany,DEU,32.71133932,45.92317806,2.541063,6.784401,4.832461
2010,YR2010,Afghanistan,AFG,1.852781994,16.57305912,0.1324259,0.8515044,0.7420042
2010,YR2010,Australia,AUS,16.86293167,45.32406453,4.755941,8.529687,6.831753
2010,YR2010,Bangladesh,BGD,14.50673734,27.06945201,0.172588,0.2370127,0.2203156
2010,YR2010,Brazil,BRA,61.20748157,42.60094224,2.487307,4.932464,3.923923
2010,YR2010,Canada,CAN,38.73947058,47.37188465,2.69161,7.143747,5.018696
2010,YR2010,France,FRA,29.98591927,47.54720661,2.10495,6.578743,4.456469
2010,YR2010,Germany,DEU,32.73087185,45.95373204,2.572369,6.813644,4.858745
2011,YR2011,Afghanistan,AFG,1.852781994,16.884984,0.2003224,1.005709,0.8806576
2011,YR2011,Australia,AUS,16.95531026,45.50447766,4.591429,8.091094,6.510688
2011,YR2011,Bangladesh,BGD,14.4991442,27.56270867,0.2028203,0.3852921,0.3375168
2011,YR2011,Brazil,BRA,61.02332816,42.24158863,2.297855,4.286442,3.472289
2011,YR2011,Canada,CAN,38.73486407,47.31138969,2.779224,6.741371,4.858432
2011,YR2011,France,FRA,30.13823218,47.65320968,2.265194,6.413012,4.44439
2011,YR2011,Germany,DEU,32.73754877,46.13202378,2.498034,6.728037,4.7731
2012,YR2012,Afghanistan,AFG,1.852781994,17.2789832,0.2977051,1.197028,1.054247
2012,YR2012,Australia,AUS,17.04768884,45.62997379,4.378324,8.010082,6.362408
2012,YR2012,Bangladesh,BGD,14.49155105,28.05482959,0.2338741,0.6173989,0.5160074
2012,YR2012,Brazil,BRA,60.83917474,42.09480461,2.573868,4.978402,3.984542
2012,YR2012,Canada,CAN,38.73025757,47.3994143,2.604093,6.634768,4.714761
2012,YR2012,France,FRA,30.29054509,47.68252972,2.220744,6.270914,4.34058
2012,YR2012,Germany,DEU,32.74516555,46.10049098,2.481442,6.709509,4.755662
2013,YR2013,Afghanistan,AFG,1.852781994,18.23056253,0.4520258,1.424932,1.26199
2013,YR2013,Australia,AUS,17.14006743,45.73680589,4.336215,7.970953,6.314458
2013,YR2013,Bangladesh,BGD,14.4839579,28.55936995,0.2659308,0.9773664,0.7874798
2013,YR2013,Brazil,BRA,60.65502133,42.1239446,2.750288,5.086809,4.120368
2013,YR2013,Canada,CAN,38.72565107,47.43321904,2.630012,6.644632,4.729345
2013,YR2013,France,FRA,30.442858,47.88861246,2.17505,6.25224,4.299233
2013,YR2013,Germany,DEU,32.71898647,46.28170126,2.498124,6.653626,4.721438
2014,YR2014,Afghanistan,AFG,1.852781994,19.21842401,0.6873025,1.702105,1.522926
2014,YR2014,Australia,AUS,17.23244601,45.92521215,4.299051,7.974575,6.295062
2014,YR2014,Bangladesh,BGD,14.47636475,29.07011068,0.3005112,1.534011,1.198952
2014,YR2014,Brazil,BRA,60.47086792,42.21714081,2.745019,5.104216,4.121952
2014,YR2014,Canada,CAN,38.72104457,47.26862645,2.611461,6.463756,4.630394
2014,YR2014,France,FRA,30.59517091,48.08912245,2.051083,6.282955,4.244619
2014,YR2014,Germany,DEU,32.72284322,46.33238802,2.513809,6.487578,4.635945
2015,YR2015,Afghanistan,AFG,1.852781994,20.24479059,1.019877,1.997002,1.815164
2015,YR2015,Australia,AUS,17.3248246,46.12250223,4.347756,7.782128,6.205091
2015,YR2015,Bangladesh,BGD,14.46877161,29.58656772,0.3346172,2.38103,1.815346
2015,YR2015,Brazil,BRA,60.28671451,42.5537911,2.905587,5.446427,4.382186
2015,YR2015,Canada,CAN,38.71643807,47.10507991,2.706864,6.591178,4.74666
2015,YR2015,France,FRA,30.74748382,48.12668713,2.206569,6.170409,4.255812
2015,YR2015,Germany,DEU,32.73232815,46.42275199,2.511255,6.475184,4.623241
2016,YR2016,Afghanistan,AFG,1.852781994,21.3078664,1.510364,2.354116,2.188389
2016,YR2016,Australia,AUS,17.42548771,46.43517308,4.213447,7.879762,6.186763
